Title,Story_Trunc120Char
Plenteous Love: Virtual Charity Concert 2021,"The Singapore Red Cross (SRC) would like to extend a special invitation to you, your family and friends to join us at our "
Raise Fund for Mery's Cancer Treatment,"Mery Juana, an Indonesian from Batam has been working in Singapore as a Site Admin in GL Engineering & Construction Pte "
Help feed the underprivileged!,"Can you remember the last time you were hungry? For a foodie like me, who is hungry all the time, eating is almost like "
"Abandoned by her parents, Liling won't get the chance to fight for her life. Unless we all help her now.","Her parents abandoned her, but we won't. Let's get liling the life she deserves ! Liling (??) is my housemate in Chengdu, "
Immersive art experience in Jalan Besar,Jalan Besar after dark: A night walk and immersive art experience Kiran is a young and idealistic cinema projectionist who 
Education To Support my family and myself,Your family or your future? This is the hard choice Jia Wen has to make. Jia Wen is the youngest child in her family. She 
ASMI Migrant Mental Health Awareness 2021,"Dear Donors, Will you make a donation and support ASMI Migrant Workers Mental Health Challenge 2021? During these challenging "
Save Rayyan With Spinal Muscular Atrophy,"HOPE FOR BABY RAYYAN HOPE. It may seem such a simple word, but for baby Rayyan's mummy and family, HOPE is what they are "
Atarah’s Miracle,I am a friend of Baby Atarah’s parents & we want to help the family raise fund for Atarah’s specialized care at NUH NICU. 
72km C2C Trail Wheelchair Trek Across Singapore For Charity,"72km Coast-to-Coast Trail (there and back) Wheelchair Trek Across Singapore For Charity

Hi, I'm Scott! I'm currently 29 "
We The Good - in support of #WeCareSG movement and SCC,"We The Good - We support those doing the good work where it really counts, bringing the most crucial fundraising initiative "
Help Baby Adiva get a New Liver,"My name is Yunita, I'm a working mother of Adiva Savina (2yr) residing in Palembang, Indonesia.

My ordeal started in Mid "
Help Fund University Studies In Musical Theatre,*UPDATE FROM FEBRUARY 2021 AMDA has contacted me with new scholarship opportunities! The admissions team reviewed my audition 
You can make a difference this Season (Campaign Ended),We regret to announce the passing of our beneficiary Mr Lim. Singapore Cancer Society would like to express our appreciation 
Give vulnerable Singaporeans the gift of a safe #HomeThisChristmas,"At Christmas, all roads lead home. Give our vulnerable elderly & low-income families the gift of a safe #HomeThisChristmas. "
You’ll Never Walk Alone by Official Liverpool Supporters Club (Singapore & Singapore East) #YNWAbyComChest,"Official Liverpool Supporters Club - Singapore and Singapore East ""You'll Never Walk Alone"" has become the unofficial anthem "
Save Blessings Medical Fund,"Charming and Calvary need your help to fight canine cancer. Both our beloved dogs are diagnosed with aggressive oral melanoma.

Some "
COCHLEAR IMPLANTS FOR FEBRI,"Help Febri Suryadi get Cochlear Implants for Sudden Deafness To #AGoodPeople

My name is Febri Suryadi, I am 33 years old. "
Support Troubled Youths & Families,"Life Transfiguration Program (LTP) 

Beneficiaries (Public / Low/ Pro-Bono):
Youth with Pending Criminal Cases with poor "
Urgent Help For Jesty's Medical Treatment,"Dear Donors, Jesty is a 9-year old girl from Indonesia Batam, suffering from serious cancerous tumor. (Please refer to the "
Fundraising Appeal for Leukaemia Treatment & Transplant,"I am appealing for your help. I have recently been diagnosed with Acute Myeloid Leukaemia (AML), an aggressive form of leukaemia. "
"[Urgently Needed] $10,000 for 1,000 Meals To Feed Low-Income Families","Dear Friend Will you donate $10 for one meal today? We have over 1,000 residents from over 470 households whom we would "
Sharing the Joy this Festive Season with Royal Plaza on Scotts x Community Chest,"This festive season, Royal Plaza on Scotts would like to garner support to seniors and families in need, persons with disabilities "
Singapore Cancer Society - TalkMed Relay For Life 2020,"Singapore Cancer Society - TalkMed Relay For Life 2020 Relay For Life (RFL) 2020 Cancelled

At Singapore Cancer Society, "
Project Love: Building a sanctuary for children with cancer,We intend to turn our centre at Blk 2 Eunos Crescent to a children daycare sanctuary. It will be a haven for children who 
Help Bren Amaris Luces,"I'm a Little warrior ""With God all things are possible"" -Matthew 19:26 Hi I'm Baby boy Bren Amaris, my mom said that I'm "
Help Us Empower Youths to Take Decisive Action for a Sustainable Future By Swapping a Coffee!,"At GCNS, we believe in nurturing future business leaders to co-create a better world: through learning, volunteer and career "
Trend Micro Raises Funds For Laos,"Dear Trenders, On July 24, 2018, a dam collapsed in the Attapeu Province, Laos, killing hundreds while thousands are still "
HELP MOM HANH FIGHT CANCER,"Dear friends, I’m Jerry, a 27-year-old Vietnamese boy working in Singapore all my life. I graduated from NUS here and had "
Flag Day 2021 – Go The Dystance with MDAS!,"It has been over a year since COVID-19 swept the world into a pandemic. It’s hard to not miss how things were, but life "
Let's support the nations in their fight against COVID-19!,Nations United Against COVID-19! The nations need your support! We are all fighting our own battle with COVID-19 and we 
Help our domestic helper Dahlia to fight her breast cancer,"How it begins Dear family, friends and well-wishers, Our first child was due on end of 2010. Like any anxious parents, we "
Help Grace Nicole For Her Leukemia,"Just like any normal 8 years old girl, Grace Nicole goes to school in Indonesia, dutifully does her school work, and do "
Donate to fund the ACRES Wildlife Rescue efforts,"[Reptile Awareness Day] 21 October 2019 Equatorial spitting cobra As a tropical country, we are home to a wide variety of "
"""Abdelrahman is a child fighting Autism, give him a hand""","Give Abdelrahman a hand. My name is Ibrahim Almadhoun, the specialist in occupational therapy who will lead the treatment "
Give baby Mikma a fighting chance,"Give Baby Mikma a Fighting Chance! Dear Donors, Baby Mikma Chippa Bhote has liver failure and needs to have the transplant "
REACH Charity Run 2021 - Choon Lee Liew,"I just signed up for REACH Charity Run 2021, embarking on a journey to support the youth served by REACH Community Services. "
Raising Fund for My Dad's Medical Bill,"I am a single mom of 2 children aged (10 & 4). I am a Singapore PR citizen, while my elder son is a PR citizen & my younger "
Please Help My Father Mr Wan Chin Hay,"My name is Rachel and I would like to seek help on behalf of my father, Mr Wan Chin Hay. I am trying to raise funds for "
Help Madam Chea Phon And The Family,"Eric is the only son in his family of 3. The family stays in a subsidised HDB Flat. His father, Mr Heng, had stroke while "
Save-a-Dog Medical Fundraiser (Dollar-for-Dollar Matching Grant),"Help us raise much-needed medical funds for the neglected and forgotten street dogs of Singapore.

According to estimates, "
Please Help ARTZEL to fight severe communicating hydrocephalus with post infection and tuberculosis meningitis,"Hello, my dear sisters and brothers by heart. A sweet and adorable 1 year and 7month baby named  Artzel Arcenas from the "
Please Help Save Jeany Garcia From Stage 3 Breast Cancer,"Hi friend,

Thank you for visiting my campaign. My name is Jeany De Sagun Garcia 39 years old from Banyaga Batangas Philippines. "
#WeGiveInSolidarity to Enable Women to Power Up Online,"Sponsor a woman to upskill in these challenging times so she can provide for herself and her family.

In the last two months, "
[COVID-19] Solidarity +62 Relief Fund,SOLIDARITY (+62) RELIEF FUND: Help us get critical supplies of personal protective equipment to healthcare frontliners treating 
Save Baby Umair,"Baby Umair was born on 28 May 2018 under C section, and had been inside ICU ever since. When Baby Umair was born, the doctor "
"Prasanth Ganesan; words left unsaid, things left undone","He always had a smile on his face. He had a kind demeanor, was well-liked by his friends, colleagues and supervisors. He "
Help Fendy Beat Rare Disease,"Fendy, 34 years old this year, and his wife Fannie, came from the average income family in Jakarta, Indonesia. It all started "
Save 12 Year Old Boy Cheng Fong,"Cheng Fong is an active boy who stands at 1.6 meters at the age of 12, and his favorite game is playing basketball. In early "
Give Remy A Chance To Recover,Our 49-year-old dear helper Remy has been with our family for almost 3 years.  She is much loved and has been looking after 
Help Febryanti Fight Leukemia,"As a mother, time spent with your first baby should be one of the most joyful and precious moments in your life. However, "
A Mindful Thought for our Children,"Morphing Mind will be holding its ""Mindfulness and You"" summit this December, which is centred at Mindfulness, being Mindful, "
NUS RC4 Flag,"Circuit Breaker (Lockdown) period has seen a 22% increase in Domestic Violence Cases As a result of Covid-19, governments "
Help save my sister Karissa from lymphoma cancer,Karissa Blanche Sauva She is a 23-year-old girl with full of dreams with her life ahead of her. She had been working for 
We Give in Solidarity #wegiveinsolidarity,"We Give in Solidarity On the 6th of April 2020, DPM Heng announced that every Singaporean over the age of 21 will receive "
Give Baby Bao Ngoc A Chance To Live,Baby Bao Ngoc is currently 15 months old and she was discovered to contract brain tumor when she was only 7 months old in 
Sew Much Love,"Bringing warmth & comfort into the homes of people who need it most. Amidst this COVID-19 pandemic, coming together to volunteer "
Can You Help Our Local Elderly During This COVID-19 Situation?,Watch the recording of a webinar moderated by Give.Asia https://bit.ly/srcc19webinar to discover how the Singapore Red Cross 
"Habitat build in Siem Reap, Cambodia","Help us move people forward in life. In Southeast Asia numerous families don't have access to decent, safe and affordable "
Help Save My Dad And Bring Him Home,"On 12th December 2018, when my parents were travelling from Shanghai to Japan, my dad experienced severe breathing difficulties "
Lights for Auntie Lee (Dollar Matching Campaign),"With lights in her room, she can see the vibrant colours of her creation throughout the day. Your donation is multiplied! "
Help e-scooter victim Mdm Ang,"HELP E-SCOOTER VICTIM MDM ANG HELP E-SCOOTER VICTIM MDM ANG On 17/9/2016, a 17 year old e-scooter rider crashed into Mdm "
Please help baby Soumith for his liver transplantation,"Baby Soumith needed a liver transplantation to get survived My name is Lavnya, I am here to raise funds for my 1.8 years "
Can you please donate $15 to help Premature Twins Baby Serena and Baby Stella today?,"Can you please help my twins, Baby Stella and Baby Serena, with a  $15 donation today? My name is Maria, and I’m on long "
Help Quang Minh With His Blood Cancer,"Quang Minh is an active and happy go lucky 13 year old boy student residing in Vietnam. As per any 13 year old boy, he goes "
P&G Virtual Marathon December 2020 - We run for BATAM BUILD,"Over the last two years, P&G has partnered with Habitat Singapore to build seven homes and install 12 water connections "
Please help my dad Zain fight Blast Crisis Leukemia,"My name is Zidane, I’m 13 years-old this year and I’m from Indonesia, and I need your help to save my papa who is suffering "
Help Miguel Fight Cancer!,It was the last month of the year 2019 December the month joy when we found out that our dear 7 year old boy Miguel has 
Give Destinne hope for a normal life,Destinne is a 16-year old girl from the Philippines that was diagnosed with Polyarticular Juvenile Idiopathic Arthritis 
Help Support the Road to New Life for Mdm Yap's Family - HJ0301,"Mdm Yap, a senior elderly, age 86, comes from the forgotten low income cluster of Singapore has been staying in a 3 room "
"He and his twin brother both have serious medical conditions, but he’s alone in Singapore now because there wasn’t enough money to treat them both.","Baby Tuan Anh was born in Ngh? An province in north-central Vietnam in January this year, one of two twin boys. Both babies "
Project Iridescent Ironman Triathlon,Project Iridescent is a Youths for Causes Team working to raise funds and awareness for Make-A-Wish Singapore and our newest 
Crisis Myanmar - Help the Hungry,"Help to Buy Rice and Basic Necessitates Hey there!

We are all well aware on the current situation in Myanmar. Faced with "
Join TeamBHP's cycling for Ride for Rations 2021,This year marks Ride for Rations (RfR) 11th anniversary and is challenging you once again to help put an end to hunger. 
Saving A Stage 4 Cancer Boy,"Most 5-year old boy should be feeling happy and enjoying the magical times in their carefree life, but that’s not the case "
Give baby Anh Quan a chance to regain his hearing,Baby boy Vu Anh Quan was born in 2016 in a moutainous area in Vietnam. Baby Anh Quan was born with nasal septal deviation 
Save Maria From Steven Johnson Syndrome,"Ibu Matha was so happy when she heard that her daughter, Maria, has gotten a job in Singapore as domestic helper, and they "
HELP Nepal Breathe,"While many parts of the world are seeing their COVID-19 cases decrease, Nepal’s cases are spreading faster than almost anywhere "
Give a lifeline to my boy Xintong,I am a mother of a four-year old boy and I come from China Zhejiang. My family have been in Singapore for more than a year 
Help 2 Year Old Kallea Fight Neuroblastoma,"During the end of March 2019, Kallea's body wasn’t feeling too well, and she suddenly vomited, and her body was weak and "
Project R.I.C.E+ 2020,Will you help alleviate the extent of insecurity and the worries of vulnerable families unable to afford food and daily 
ChildAid 2021 in aid of ST SPMF and BT BAF,ChildAid is an annual charity concert in aid of The Straits Times School Pocket Money Fund (ST SPMF) and The Business Times 
Sport A Cause 2018,"Did you know that there are almost 10,000 special needs students in Singapore? SMU Challenge is a student initiative that "
LEX'MAS Art Sale - #31 Legendary Catch SGD100,"LEX'MAS Art Sale - #31 Legendary Catch
Price: $100.00 ((Please enter donation amount of at least $100 to purchase this painting)
Medium "
Commemorative Photobook - CDC,Middleton Hospital was opened in mid-1913 to address the growing need for a proper facility to manage infectious diseases 
Breaking Gia Hung Dream,"Gia Hung’s dream is to become an athletic when he grows up, but unfortunately that dream could never come true now, as he’s "
Help Maudy With Her Neuroblastoma,"With 1 Kidney Remaining Maudy Against Nerve Cancer (Neuroblastoma) !! ""At only 3 years old, Maudy underwent a severe test "
Uplift Persons with Mental Health Conditions Today,"To uplift those vulnerable to mental illnesses, let’s make a difference today. We're Team DinoSoar, a YFC team working in "
#EndowusGivesBack to DADs For Life and MUMs For Life - Give the gift of hope this holiday season,"Give the gift of hope this holiday season. Fulfil a wish with Endowus, and choose your way of giving back. #EndowusGivesBack

Endowus "
Help Madam Leong With Her Medical Fees,"Madam Leong’s story was recently featured on Storm and Lian He ZaoBao, for her liver failure, and if you had missed it, "
Will you help a fellow sister-in-Christ preserve her sight today?,It's a beautiful world. But she might not see it anymore... Let's help Jam from going blind because WE CAN! John 13:35 By 
Help Rafael,"Rafael is 9 years old and he’s from Jakarta. What started as the normal flu, but mutated and parents admitted into ICU in "
Help Deliver Essentials to Migrant Workers,"The ongoing COVID-19 situation continues to have serious and far-fetching consequences on our foreign workers.


With your "
Premature twins NUHAD and NURAZ need your help,"My name is Mostaque, and together with my wife, I have been in Malaysia for the last 6 years studying for my BBA and now "
Let's support refugee children to get education,"It costs $5 to provide book & pen, would you take action to build the the live of hundreds disadvantage children? Refugee "
Fuel Joy 2019,"In 2018, the nine members of Freedom Yoga team ran the OSIM Sundown Marathon (a mixture of distances) and raised over $10,000 "
7 CONTINENTS 7 MARATHONS 7 DAYS,"Come 3 FEB 2022, I will embark on another wheelchair record breaking attempt to complete 7marathons across 7 continents "
Grateful Hearts Day 2020,"Grateful Hearts Day 2020 As part of the Grateful Hearts 2020, the Singapore Red Cross (SRC) will be organising a fundraiser "
Please help Heart patient Anik with Ruptured Aorta,Please help heart patient Anik with ruptured aorta. Anik Seyowati is my elderly parents’ helper from Indonesia. She is 38 
SUTD CDLH Beirut Explosion Relief Response 2020,"On Tuesday, August 4th a devastating explosion killed more than 170 people and injured thousands more in Beirut, Lebanon. "
Donate to feed our needy families - Ride for Rations 2020,"Each year, a group of cyclists and support crew will come together to help raise funds for these beneficiaries through a "
Help Premature Baby Aarish,"For every parents to be, they are always very excited to anticipate their new born into the world, and can’t wait to shower "
Too Precious To Be Ignored,"Nature Society (Singapore) is dedicated to the appreciation, conservation, study and enjoyment of the natural heritage in "
Deaf & Everyday Heroes Give Pause To Fight COVID-19,"Let’s take a moment to pause. Imagine ourselves in the shoes of Frontline Responders and Everyday Heroes, AKA our superheroes "
It is never an easy decision ending your own life.,"Silent distress, too late to help. But you can help their families still. Singapore, like many countries is still battling "
Make End-Of-Life Planning Easy and Affordable for Everyone,"My Story of Love & Loss Have you ever faced the loss of a loved one? Like it or not, it’s only a matter of time. For me "
Please help my mum diagnosed with HER2-positive Breast Cancer,"Hi, I am Shari, daughter of Jaya Kumari who has been diagnosed with HER2 Breast Cancer in November last year.  She had signed "
SHG Digital transformation for Elderly,These workshops help bridge the digital divide by educating seniors the use of Computers and Mobile Phones. Sessions are 
Singapore Day 2019 President’s Challenge,"Dear fellow Singaporeans, In conjunction with Singapore Day 2019 Shanghai, the Singapore Chamber of Commerce and Industry "
Mashup 25 Song,"With $25, you can have a nice meal at the cafe, check out your Shopee Cart or buy the latest sneakers. But, have you thought "
"Murugan Kothalam, gone too soon!","You don’t know love until you’ve carried a child, you don’t know pain until you’ve lost a child. October 15th 2020, was "
REACH Charity Run 2021 - Lorbert Tay,"This November to December, I am running as part of 50,000km challenge for REACH Charity Run 2021!

You can encourage me "
Phones 4 Workers,Phones 4 Workers with It’s Raining Raincoats Singapore’s migrant worker community has been hit hard by the coronavirus. 
Singapore Cancer Society - TalkMed Relay For Life 2019,"Be the reason someone smiles today. No act of kindness, no matter how small, is ever wasted. Donate to Singapore Cancer "
Help us bring home our premature baby Wave,"Help us bring our Wave home.. Dear Giver,

I am Fretzchel Civil. My husband and I have been on a roller coaster ride every "
Food Bank x GobblerCo New Year Bundle,"This festive season, we are partnering with GobblerCo, a social enterprise selling discounted groceries that was founded "
Please save Vio from Soft Tissue Tumor,"Please, help me to save my daughter. She is good girl Hi, I am Nita. I am Vio’s mother.  She is cheerful, active, so loving "
Help Premature Baby Radhav,"Please help support my Very Premature son in NICU Hello, I am Deeksha. My husband and I have been working in Singapore for "
#CollectiveAction: Beyond COVID-19 Family Assistance Fund,This campaign is in collaboration with Schroders Singapore #Collective Action Campaign and Beyond Social Services to support 
NUSSU Rag & Flag 2020,"Let's hear from some of our Social Service Agencies (SSAs)... Asian Women’s Welfare Association (AWWA) ""AWWA is into our "
#EndowusGivesBack to DADs For Life and MUMs For Life - Give the gift of hope this holiday season,"Give the gift of hope this holiday season. Fulfil a wish with Endowus, and choose your way of giving back. #EndowusGivesBack

Endowus "
Help Sun Hong Battle Cerebral Haemorrhage,"Support Sun Hong with hospitalisation expenses and repatriation cost Ms Sun Hong, aged 46, a China national, who suffered "
Typhoon Relief for Bagong Silangan/General Nakar Community,A Call for Typhoon Relief Aid As the Philippines and many other countries of Southeast Asia continue to battle typhoons 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Please support my extremely premature son,
